"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Comoros","COM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","40.3176193237305","","","","","","","","","","","","","","","","","","","","63.4590187072754","","","","","","","","","","","","42.6372909545898","","","","","","52.9563903808594","","","56.939998626709","",
"Cabo Verde","CPV","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.9986190795898","","","","","","","","","","69.4445571899414","","","","","","","","","","","","80.496223449707","","","82.0422210693359","","","","","","87.4000015258789","",
"Costa Rica","CRI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.5771331787109","","","","","","","","","","","","","","","","95.0807876586914","","","","","","","","","","","97.5004119873047","","","","","","","97.924430847168","","","98.0999984741211","",
"Caribbean small states","CSS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.5119400024414","88.5605697631836","88.8386306762695","89.0841674804688","89.3293685913086","89.631217956543","89.490608215332","90.2768707275391","90.6348495483398","90.8920135498047","91.1376800537109","91.3647766113281","91.6280899047852","91.7842025756836","92.4452362060547","92.6752014160156","92.8670806884766","92.9453125","92.996696472168","92.7789001464844","92.448112487793","92.4574508666992","92.5996627807617","","","","","","","",
"Cuba","CUB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7909164428711","","","","","","","","","","99.7998809814453","","","","","","","","","99.7171478271484","",
"Curacao","CUW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0214767456055","","","","","","","","","","99.0214767456055","","","","99.0214767456055","",
"Cyprus","CYP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0017776489258","","","","","","","","","95.0796585083008","","","","","","","","","","98.1162261962891","","","","","","","","","","99.1500015258789","",
"Czechia","CZE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","72.5360794067383","","","","","","","","","","","","","","","","","","","","","87.1770935058594","","","","","88.2771682739258","","","89.6973037719727","90.2255706787109","90.2241668701172","91.2505111694336","92.1477890014648","92.3210601806641","93.7641296386719","","","","","95.2699966430664","",
"Algeria","DZA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8399200439453","","","","","","","","","","","","","","","60.075080871582","","","","63.9187889099121","","67.5487518310547","","","","","","","","","","75.3229675292969","","","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","50.1702117919922","50.4001197814941","51.8328704833984","53.2895584106445","54.1152992248535","56.2512016296387","57.4033699035645","59.1291198730469","60.5322189331055","61.8733406066895","63.0124206542969","64.518798828125","70.3860168457031","71.3820571899414","71.4985122680664","73.0793533325195","73.8721466064453","74.6405181884766","75.4586029052734","76.2703170776367","76.9871292114258","85.0782318115234","85.5971298217773","86.0611114501953","86.4383697509766","87.0946807861328","87.6301498413086","88.1846618652344","88.6517028808594","89.1420288085938","89.6489181518555","91.2562789916992","91.6025009155273","92.094108581543","92.2520217895508","92.1191787719727","92.4145889282227","92.545051574707","93.1419525146484","93.3783569335938","93.6164932250977","93.8739013671875","94.0344619750977","94.5302276611328","94.7597885131836","","",
"Early-demographic dividend","EAR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","37.2276306152344","37.5708885192871","38.280818939209","39.0285606384277","39.7296485900879","39.8525581359863","40.9498291015625","42.0031089782715","42.7996101379395","43.8317718505859","44.6321983337402","45.4388084411621","46.4206504821777","46.8039093017578","47.6147613525391","48.6799392700195","49.3519401550293","50.3650398254395","51.1533508300781","52.1286582946777","53.1158790588379","54.0319709777832","54.841178894043","57.7246398925781","58.5302886962891","59.3926315307617","60.0432815551758","60.7194709777832","61.7613983154297","62.7206115722656","62.2686996459961","63.1854286193848","63.9369888305664","65.1333999633789","66.2676010131836","68.2395782470703","68.5100708007813","69.1343307495117","69.7681732177734","70.9025115966797","71.728157043457","72.522087097168","73.1303482055664","73.5127487182617","74.4773864746094","74.9734878540039","","",
"East Asia & Pacific","EAS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","53.4058494567871","53.6580009460449","54.9492607116699","56.2568817138672","56.9752082824707","58.9590110778809","59.9336090087891","61.4664993286133","62.7209281921387","63.9250411987305","64.9374313354492","66.3479537963867","71.5799331665039","72.5019912719727","72.6225509643555","74.0649337768555","74.8012008666992","75.5135803222656","76.2911224365234","77.0625991821289","77.7340469360352","84.9589920043945","85.4549102783203","85.9306335449219","86.2900009155273","86.9194869995117","87.4488677978516","88.0119323730469","88.4718933105469","88.9719467163086","89.4687881469727","90.9467315673828","91.3291168212891","91.8141174316406","91.8990173339844","91.7131195068359","92.0241394042969","92.1579666137695","92.8395462036133","93.0855102539063","93.3281402587891","93.590446472168","93.7558364868164","94.2736434936523","94.5011978149414","","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","91.2723236083984","92.2060775756836","92.4312133789063","92.5744934082031","92.7712936401367","92.9862976074219","93.0755996704102","93.2741165161133","93.4065704345703","93.5834884643555","93.7645111083984","93.9429779052734","94.1255798339844","94.4077682495117","94.583381652832","95.1268081665039","95.2672500610352","95.2720718383789","95.3801803588867","95.5067291259766","95.6114807128906","95.8403396606445","96.1050415039063","96.0528030395508","96.206413269043","96.256477355957","97.0875473022461","97.5409317016602","97.9272537231445","98.1327667236328","98.2110366821289","98.2558670043945","98.2990112304688","98.4902114868164","98.4846115112305","98.5559921264648","98.6548461914063","98.7102737426758","","",
"Europe & Central Asia","ECS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.624267578125","93.8470306396484","94.0470809936523","94.2551116943359","94.500617980957","94.6835327148438","94.9496002197266","95.120002746582","95.1566772460938","95.2889862060547","95.4978408813477","95.6277465820313","95.7987670898438","95.9991302490234","95.9982986450195","96.1095733642578","96.1794586181641","96.5792999267578","96.823127746582","97.0278778076172","97.1730194091797","97.2630920410156","97.3228302001953","97.3820114135742","97.5110778808594","97.5632934570313","97.6517715454102","97.7246475219727","97.7967071533203","","",
